이름,이미지,작품명,재료,크기,년도,에디션 넘버,가격,프로필,작가노트,작가 이력,이미지파일명
이윤엽,,콩밭메는 할머니2,다색목판 60장 중에서,25x32.5cm,2009,,"₩400,000","이윤엽은 농부나 노동자, 주변의 소박한 사물들을 재치 있게 표현하는데 흰 여백 위에 굵은 선을 사용하여 투박하면서도 정겨운 목판화의 특징을 잘 보여준다. 그에게 목판화는 나무를 깎고 작업의 도구를 다루며 그의 몸을 움직이게 만드는 매체로써, 노동을 이해하는 사람들 사이의 공감을 만들어 내거나 노동의 가치 그 자체에 대한 이해를 이끌어내는 방법이기도 하다.

이윤엽은 공장 바닥에 까는 고무판을 사용해서 조각도로 깎아냈다. <산드래미 최씨>(1996)는 이윤엽의 첫 판화 작품으로서 당시 작가가 살던 집 근처에 살고 있던 이웃 농민을 재현한 것이다. 첫 작품 이후 작가는 본격적으로 판화를 본인의 매체로 사용하게 되는데, 특히 스스로를 ‘파견미술가’라고 부르며 파업 시위 현장 등에서 노동자들과 함께 판화를 제작하는 액티비스트로서의 작가의 면모를 드러내게 된다.",,"025 잘린문장 열린광장 (민주화 운동 기념관)
2024 개인전 시간이 조금 걸리더라도  (동두천 생태평화 미술관 더꿈)
2020 판화,판화,판화,(국립현대미술관)
2019광장 미술과사회(국립현대미술관)
2017 층과층사이 -과천현대미술관
2015 광주비엔날레 20주년 특별전 (광주시립미술관)

16섯번의 개인전과 그룹전 다수 
2012 구본주 예술상수상 

국립현대 미술관 경기도 미술관 일본 사키마 미술관,후쿠오카 아시아미술관 등 작품소장
저서/나는 농부란다, 시간이 조금걸리도라도 등",238
강석태,,나의 어린 왕자,캔버스에 아크릴채색,45 x 45cm,2025,,"₩1,800,000","<작가소개>  @seoktae.kang  

강석태는 생텍쥐페리의 소설 어린 왕자에서 영감을 받아 아이의 순수한 마음을 담은 어린 왕자를 모티브로 작업을 해오고 있다. 작품 속 어린 왕자가 만나는 풍경과 재해석된 서사를 통해 감성과 위로를 전해주는 작품으로 21회의 개인전과 200여 회의 단체전에 참가하였으며, 저서로는 <어린 왕자에게 말을 걸다>, <나무에 문화꽃이 피었습니다>가 있다. 제22회 중앙미술대전에서 특선, 한·독미술협회공모전에서 특별상을 수상하였고, 주요 작품 소장처로 국립현대미술관 미술은행, 주한프랑스문화원, 한국예술종합학교, 남해군청, 푸르메재단, 순천 기적의 도서관, 넥슨어린이재활병원, 창원 한마음병원 등이 있다.",,,239
강석태,,함께하는 시간,장지에 아크릴 채색,40.9 x 31.8cm,2025,,"₩1,000,000","<작가소개>  @seoktae.kang  

강석태는 생텍쥐페리의 소설 어린 왕자에서 영감을 받아 아이의 순수한 마음을 담은 어린 왕자를 모티브로 작업을 해오고 있다. 작품 속 어린 왕자가 만나는 풍경과 재해석된 서사를 통해 감성과 위로를 전해주는 작품으로 21회의 개인전과 200여 회의 단체전에 참가하였으며, 저서로는 <어린 왕자에게 말을 걸다>, <나무에 문화꽃이 피었습니다>가 있다. 제22회 중앙미술대전에서 특선, 한·독미술협회공모전에서 특별상을 수상하였고, 주요 작품 소장처로 국립현대미술관 미술은행, 주한프랑스문화원, 한국예술종합학교, 남해군청, 푸르메재단, 순천 기적의 도서관, 넥슨어린이재활병원, 창원 한마음병원 등이 있다.",,,240
강석태,,"언제나 내
 곁에",캔버스에 아크릴채색,72.7 x 60.6cm,2022,,"₩3,600,000","<작가소개>  @seoktae.kang  

강석태는 생텍쥐페리의 소설 어린 왕자에서 영감을 받아 아이의 순수한 마음을 담은 어린 왕자를 모티브로 작업을 해오고 있다. 작품 속 어린 왕자가 만나는 풍경과 재해석된 서사를 통해 감성과 위로를 전해주는 작품으로 21회의 개인전과 200여 회의 단체전에 참가하였으며, 저서로는 <어린 왕자에게 말을 걸다>, <나무에 문화꽃이 피었습니다>가 있다. 제22회 중앙미술대전에서 특선, 한·독미술협회공모전에서 특별상을 수상하였고, 주요 작품 소장처로 국립현대미술관 미술은행, 주한프랑스문화원, 한국예술종합학교, 남해군청, 푸르메재단, 순천 기적의 도서관, 넥슨어린이재활병원, 창원 한마음병원 등이 있다.",,,241
강석태,,어린 왕자의 별,캔버스에 아크릴채색,45 x 90cm,2023,,"₩2,600,000","<작가소개>  @seoktae.kang  

강석태는 생텍쥐페리의 소설 어린 왕자에서 영감을 받아 아이의 순수한 마음을 담은 어린 왕자를 모티브로 작업을 해오고 있다. 작품 속 어린 왕자가 만나는 풍경과 재해석된 서사를 통해 감성과 위로를 전해주는 작품으로 21회의 개인전과 200여 회의 단체전에 참가하였으며, 저서로는 <어린 왕자에게 말을 걸다>, <나무에 문화꽃이 피었습니다>가 있다. 제22회 중앙미술대전에서 특선, 한·독미술협회공모전에서 특별상을 수상하였고, 주요 작품 소장처로 국립현대미술관 미술은행, 주한프랑스문화원, 한국예술종합학교, 남해군청, 푸르메재단, 순천 기적의 도서관, 넥슨어린이재활병원, 창원 한마음병원 등이 있다.",,,242
강석태,,"너에게로 가는
 바람",캔버스에 아크릴채색,65 x 53cm,2025,,"₩2,700,000","<작가소개>  @seoktae.kang  

강석태는 생텍쥐페리의 소설 어린 왕자에서 영감을 받아 아이의 순수한 마음을 담은 어린 왕자를 모티브로 작업을 해오고 있다. 작품 속 어린 왕자가 만나는 풍경과 재해석된 서사를 통해 감성과 위로를 전해주는 작품으로 21회의 개인전과 200여 회의 단체전에 참가하였으며, 저서로는 <어린 왕자에게 말을 걸다>, <나무에 문화꽃이 피었습니다>가 있다. 제22회 중앙미술대전에서 특선, 한·독미술협회공모전에서 특별상을 수상하였고, 주요 작품 소장처로 국립현대미술관 미술은행, 주한프랑스문화원, 한국예술종합학교, 남해군청, 푸르메재단, 순천 기적의 도서관, 넥슨어린이재활병원, 창원 한마음병원 등이 있다.",,,243
이문형,,책거리x크리스마스,한지위에 수묵채색,60.6x40.9cm,2025,,"₩840,000",,,"개인전                                                                              
2025 이문형개인전 2025 (한뼘미술관,천안) 

단체전
민화의 비상전_제6장.반복과 패턴 (한국미술관,서울) 외 20회

아트페어
2025 제7회 대한민국 민화아트페어 개인부스전 (setec,서울) 외 1회

수상
제13회 현대민화공모전 우수상",244
이문형,,책거리x앙리 마티스,한지위에 수묵채색,60.6x40.9cm,2025,,"₩840,000",,,"개인전                                                                              
2025 이문형개인전 2025 (한뼘미술관,천안) 

단체전
민화의 비상전_제6장.반복과 패턴 (한국미술관,서울) 외 20회

아트페어
2025 제7회 대한민국 민화아트페어 개인부스전 (setec,서울) 외 1회

수상
제13회 현대민화공모전 우수상",245
이문형,,책거리x쿠사마야요이,한지위에 수묵채색,60.6x40.9cm,2025,,"₩840,000",,,"개인전                                                                              
2025 이문형개인전 2025 (한뼘미술관,천안) 

단체전
민화의 비상전_제6장.반복과 패턴 (한국미술관,서울) 외 20회

아트페어
2025 제7회 대한민국 민화아트페어 개인부스전 (setec,서울) 외 1회

수상
제13회 현대민화공모전 우수상",246
이문형,,책거리x살바도르 달리,한지위에 수묵채색,60.6x40.9cm,2025,,"₩840,000",,,"개인전                                                                              
2025 이문형개인전 2025 (한뼘미술관,천안) 

단체전
민화의 비상전_제6장.반복과 패턴 (한국미술관,서울) 외 20회

아트페어
2025 제7회 대한민국 민화아트페어 개인부스전 (setec,서울) 외 1회

수상
제13회 현대민화공모전 우수상",247
